更新日,曲名
2025/12/31,【薬師寺涼子の怪奇事件簿 OPカバー】 Theme principal La chanson d' atsuko(cut&コーラス入-on) ／ angela_けんちぃ_980.mp4
2025/12/31,【ゲーソン（５人パート分け済み）】乱舞る【放課後クライマックスガールズ 】【シャイニーカラーズ 】【3tr SE付on-cut+25%vocal-on】【実験動画『BLUE GALE XABUNGLE SIDE R』(戦闘メカ ザブングル)】.mp4
2025/12/31,【ソードアート・オンライン アリシゼーション War of Underworld】[OP]ANIMA／ReoNa bb225 (On-Off).mp4
2025/12/31,【Official Music Video】Wreath of Brave／morfonica.mp4
2025/12/31,【ソードアート・オンライン -エクスクロニクル-】[IM]Till the End／ReoNa ※SAOシリーズアニメMAD bb224 (On-Off).mp4
2025/12/31,【プリンセッション・オーケストラ】「雪花繚乱」[In][プリンセス・ヴィオラ(鬼頭明里)プリンセス・ネージュ(伊藤美来)][On-Off][アニメ][加古].mp4
2025/12/31,【ワンダンス】[ED]Wondrous／ELSEE ※パート分け有・公式MV・ED・OP・本編ちょいMAD bb223 (On-Off).mp4
2025/12/31,【Fate／Grand Order】「時計」[ED][坂本真綾][2tr Off-On].mp4
2025/12/31,【ワンダンス】[OP]Stare In Wonder／BEFIRST ※パート分け有・公式MV bb222 (On-Off).mp4
2025/12/31,この本を盗む者は (off-UVRchorus-on) Share【YUKI】※劇場版PV MV 番宣を繋いだ動画.mp4
2025/12/30,【るRWBY Vol.5】All That Matters／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/30,【BanG Dream! Ave Mujica】[IN]焚音打／mygo ※13話アニメライブ映像 bb221 (On-Off).mp4
2025/12/30,イリタブル／May'n［on-cut］.mp4
2025/12/30,【VOCALOID】餞に愛を／重音テト［on-cut］.mp4
2025/12/30,【劇場版 BanG Dream! It's MyGO!!!!!】[IN]超詩絆／mygo  bb220 (On-Off).mp4
2025/12/30,「もしものがたり THE FIRST TAKE Ver.」Tani Yuuki【オフボーカル・コーラス入り】.mp4
2025/12/30,【劇場版 BanG Dream! It's MyGO!!!!!】[IN]碧天伴奏／mygo  bb219 (On-Off).mp4
2025/12/30,キングダム (off-UVRchorus-on) 咆哮【友成空】※第６期シリーズ ED アニメ公式 MV.mp4
2025/12/30,忍者と極道 (off-UVRchorus-on) Until You Die Out【Fear， and Loathing in Las Vegas】.mp4
2025/12/30,【劇場版 BanG Dream! It's MyGO!!!!!】[IN]迷路日々／mygo  bb218 (On-Off).mp4
2025/12/30,【劇場版 BanG Dream! It's MyGO!!!!!】[IN]迷星叫／mygo  bb217 (On-Off).mp4
2025/12/30,【劇場版 BanG Dream! It's MyGO!!!!!】[IN]壱雫空／mygo  bb216 (On-Off).mp4
2025/12/30,【るRWBY Vol.5】All Things Must Die／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/30,【アイドルマスターミリオンライブ！】FairyTaleじゃいられない／フェアリースターズ[on-off-ハーフ]※パート分け.mp4
2025/12/30,しゃばけ (off-UVRchorus-on) 脈脈【KAFUNE】※最終話まで.mp4
2025/12/30,モンスターストライク デッドバースリローデッド (off-UVRchorus-on) Monster【Da-iCE】※アニメ公式 MV.mp4
2025/12/30,ある日、お姫様になってしまった件について (off-UVRchorus-on) その瞳で【XAI】※2025 日本語吹替版 ED アニメ公式 MV.mp4
2025/12/30,【東島丹三郎は仮面ライダーになりたい】-TeddyLoid 松崎しげる TOPHAMHAT-KYO-Wanna be(cut-on)パート分けVer2.mp4
2025/12/30,【グノーシア】-MAISONdes-化けの皮(cut-on)パート分けVer2.mp4
2025/12/30,【不器用な先輩。】-前島亜美-不器用に 君のとなり(cut-on)最終話まで.mp4
2025/12/30,【暗殺者である俺のステータスが勇者よりも明らかに強いのだが】-VESPERBELL-一閃(cut-on)パート分け最終話まで.mp4
2025/12/30,「Brightest Star」BRIGHT【オフボーカル・コーラス入り】.mp4
2025/12/30,【劇場版 BanG Dream! It's MyGO!!!!!】[IN]音一会 ／mygo  bb215 (On-Off).mp4
2025/12/30,【最後にひとつだけお願いしてもよろしいでしょうか】「インフェリア」[ED][シユイ][2tr Off-On].mp4
2025/12/30,[君色、僕色／伊東歌詞太郎＆鈴木このみ＆小林裕介＆AZKi]異世界かるてっと3[on-off].mp4
2025/12/30,【ルパン三世 OP】 Afro Lupin ’68【TVサイズ】(cut&コーラス入-on) ／ チャーリー・コーセイ_けんちぃ_979.mp4
2025/12/30,【最後にひとつだけお願いしてもよろしいでしょうか OP】 戦場の華(cut&コーラス入-on)_last版 ／ CHiCO with HoneyWorks_けんちぃ_1081.mp4
2025/12/30,キングダム (off-UVRchorus-on) 咆哮※友成空 MV.mp4
2025/12/30,【ウマ娘 シンデレラグレイ】［OP2］スパートシンドローマー／10-FEET（On-Semi-Mvc-Cut）※公式アニメMV.mp4
2025/12/29,【うたごえはミルフィーユ】うたごえハイシックス(パート分け有 MV)／うたごえはミルフィーユ〔MVC-On〕.mp4
2025/12/29,【烈火の炎】「ずっと君のそばで」[Ed][増田ゆき][On-Off][アニメ][芝ちゃん].mp4
2025/12/29,【烈火の炎】「Love is Changing」[Ed][西田ひかる][On-Off][アニメ][芝ちゃん].mp4
2025/12/29,【ソードアート・オンライン -オーディナル・スケール】Catch the Moment ／LiSA  bb214 (On-Off).mp4
2025/12/29,【SHOW BY ROCK!!ましゅまいれっしゅ!!】[OP]／ヒロメネス／ましゅまいれっしゅ!!／On-Off.mp4
2025/12/29,【キングダム】咆哮／友成空  ※公式MV bb213 (On-Off).mp4
2025/12/29,【るRWBY Vol.4】Mirror Mirro ，Part2／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/29,【ちびまる子ちゃん】おどるポンポコリン／Ado ※Ado、Egirls、ももクロver映像 bb212 (On-Off).mp4
2025/12/29,【るRWBY Vol.4】Home／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/29,【ある日、お姫様になってしまった件について】[OP]いいよ（最終話反映）／Daoko〔MVC-On-Off〕.mp4
2025/12/29,【ある日、お姫様になってしまった件について】[ED]その瞳で（公式アニメMV）／XAI〔On-Off〕.mp4
2025/12/29,【∀ガンダム】【OP】【ターンAターン(opening version)】【西城秀樹】【off-on】.mp4
2025/12/28,Prologue [DUOP] (cut) 素材採取家の異世界旅行記.mp4
2025/12/28,【∀ガンダム】【ED】【AURA(accoustic version)】【谷村新司】【off-on】.mp4
2025/12/28,【プロジェクトセカイ カラフルステージ! feat. 初音ミク】-Leo／need-花結び(cut-on)2DMV.mp4
2025/12/28,【プロジェクトセカイ カラフルステージ! feat. 初音ミク】-Vivid BAD SQUAD-ファイター(cut-on)2DMV.mp4
2025/12/28,【覇王大系リューナイト アデュー・レジェンド】-矢島晶子-Angel Flower(cut-on).mp4
2025/12/28,【覇王大系リューナイト アデュー・レジェンド】-西村智博-忍 -SHINOBI-(cut-on).mp4
2025/12/28,【がっこうぐらし！】卒業あるばむ(パート分け)／学園生活部[on-cut].mp4
2025/12/28,【カードファイト!! ヴァンガードDivinez デラックス決勝編】-Poppin’Party-Drive Your Heart(cut-on).mp4
2025/12/28,【愛少女ポリアンナ物語】【OP】【微笑むあなたに会いたい】【工藤夕貴】【off-on】.mp4
2025/12/28,【プリンセッション・オーケストラ】[OP]ゼッタイ歌姫宣言ッ！(on)_パート分け_2nd EVENT「FUTURE SESSION」 ／オルケリア.mp4
2025/12/28,百姓貴族 3rd Season (off-UVRchorus-on) 陰になり日向になり【pachae】※第３期 最終話まで.mp4
2025/12/28,SANDA (off-UVRchorus-on) ダイアリー【崎山蒼志】.mp4
2025/12/27,【アイドルマスターミリオンライブ！】アイル／伊吹翼（cv.Machico）[on-off-ハーフ].mp4
2025/12/27,【るRWBY Vol.4】Path to Isolation／Jeff Williams Feat.Casey Lee Williams(Off-On-Guide).mp4
2025/12/27,【こみっくがーるず】こみっくせんせーしょん！／こみっくがーるず(On-Cut)※パート分け無し【naoo】.mp4
2025/12/27,【School Days】[ED]二人のクリスマス(on-off)／rino.mp4
2025/12/27,【機動戦士ガンダム0080 ポケットの中の戦争】「遠い記憶」[ED][椎名恵][2tr Off-On].mp4
2025/12/27,【School Days】「悲しみの向こうへ」[ED][いとうかなこ][2tr Off-On].mp4
2025/12/27,【ホロライブ】「咲き誇れアイドル」[IM][さくらみこ][2tr Off-On].mp4
2025/12/27,【ダイブロス・コア】[OP]KARMA[岸田教団&THE明星ロケッツ](on-cut)krk[short].mp4
2025/12/27,【ダイブロス・コア】[OP]KARMA[岸田教団&THE明星ロケッツ](on-cut)krk[short].mp4
2025/12/26,【ハナヤマタ】 コドクシグナル ／Need Cool Quality［on-cut］.mp4
2025/12/26,【プリンセッション・オーケストラ】「ONENESS HARMONY -Ver. Constellation-」[Ed][オルケリア][On-Off][アニメ][加古].mp4
2025/12/26,【スロウスタート】マリンバリンバ／十倉栄依子＆千石冠.mp4
2025/12/26,【アイドルマスターミリオンライブ！】百花は月下に散りぬるを／花咲夜[on-off-ハーフ]※パート分け.mp4
2025/12/26,【るRWBY Vol.4】Like Morning Follows Night／Jeff Williams Feat.Casey Lee Williams(Off-On-RAP-Guide).mp4
2025/12/26,【アニマル横町】「ラブ chu ユー!!」[Op][りぼんガール][On-Off][アニメ][芝ちゃん].mp4
2025/12/26,【NEW GAME!】 BUG! BUG! SURVIVAL!（パート分け） ／ 桜ねね(朝日奈丸佳)＆阿波根うみこ(森永千才)［on-cut］.mp4
2025/12/26,【信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！】[OP]閃より雷や、更りや高き／丁(On-Cut)【naoo】.mp4
2025/12/26,【学園アイドルマスター】雪解けに／初星学園[on-off-ハーフ]※パート分け.mp4
2025/12/26,【夢喰いメリー】[CS]月下の仇刃花／エンギ・スリーピース(遠藤綾)(On-Cut)【naoo】.mp4
2025/12/26,【ブサメンガチファイター】「絆創膏」[Ed][金子みゆ][On-Off][アニメ][芝ちゃん].mp4
2025/12/26,【バーナード嬢曰く。】OP＿らぶ！ライブラリー／少女フラクタル[on-off-ハーフ]※パート分け.mp4
2025/12/26,【野生のラスボスが現れた！】「レベルを上げて物理で殴る」[OP][岸田教団＆THE明星ロケッツ][2tr Off-On].mp4
2025/12/25,「永遠前夜（CDTV Ver.）」TENBLANK【オフボーカル・コーラス入り】.mp4
2025/12/25,「ラックマン」BOYS END SWING GIRL【オフボーカル・コーラス入り】.mp4
2025/12/25,「ノンフィクションズ(Live Ver.)」Da-iCE【オフボーカル・コーラス入り】.mp4
2025/12/25,だってアタシのヒーロー。／僕のヒーローアカデミア／LiSA_.mp4
2025/12/25,【るRWBY Vol.4】Bad Luck Charm／Jeff Williams(Off-On-Guide).mp4
2025/12/25,【破産富豪 ED】 ピカループ(cut&コーラス入-on) ／ 眞白かのん_けんちぃ_1122.mp4
2025/12/25,【BanG Dream! Ave Mujica】[IN]顔／Ave Mujica ※公式MVアニメ映像 11話挿入歌 bb211_(On-Off).mp4
2025/12/24,【「1分間だけ挿れてもいいよ…」シェアハウスの秘密ルール。】「セッション運命ナイト」[Tm][Dai Takanashi][On-Off][アニメ][芝ちゃん].mp4
2025/12/24,【キルミーベイベー】[CS]HOW TO ENJOY／やすな(赤崎千夏)(On-Cut)【naoo】.mp4
2025/12/24,【桜Trick】[CS]おはモニハロりん♪／野田コトネ(CV相坂優歌)(On-Cut)【naoo】.mp4
2025/12/24,【アイドルマスターシャイニーカラーズ】カウントダウンラブ／I'm a Cutie Finder[on-off-ハーフ]※パート分け.mp4
2025/12/24,【永久のユウグレ】[OP]プラットフォーム（最終話反映）／Uru〔MVC-On-Off-GMI〕.mp4
2025/12/24,【アマガミSS】「恋のゆくえ」[Ed][上崎裡沙（門脇舞以）][On-Off][アニメ][芝ちゃん].mp4
2025/12/24,【アマガミSS】「嘆きの天使」[Ed][絢辻詞（名塚佳織）][On-Off][アニメ][芝ちゃん].mp4
2025/12/24,【機動戦士ガンダム 水星の魔女】祝福／YOASOBI ※いろんなアニメの複合MAD ytbちょい加工 bb210 (On-Off).mp4
2025/12/24,【るRWBY Vol.8】The Truth／Jeff Williams Feat.Casey Lee Williams(Off-On).mp4
